id,host_name,latitude,longitude,room_type,accommodates,bedrooms,beds,price,number_of_reviews,review_scores_rating,region_parent_name
15672940,Geraldine,52.12978,-7.45265,Entire home/apt,6,3,4,$63.00,143,98,Waterford City And County Council
43458447,James,51.82418,-8.39872,Private room,2,1,0,$30.00,5,92,Cork County Council
39153546,Caitriona & Glynn,52.20498,-7.42698,Entire home/apt,8,4,5,$130.00,9,98,Waterford City And County Council
41788766,"Cottages,Com",52.15968,-6.98919,Entire home/apt,5,3,3,$90.00,0,,Waterford City And County Council
25271696,Philip,51.90139,-8.46861,Entire home/apt,7,3,4,$199.00,158,98,Cork City Council
21421835,"Mark , Ivy & Paddy",51.82017,-8.3962,Private room,2,1,2,$45.00,7,97,Cork County Council
3136135,Dearbhla,51.92345,-8.38464,Private room,2,1,1,$35.00,169,91,Cork City Council
32068750,Robert,51.84997,-8.33372,Entire home/apt,4,2,2,$125.00,4,100,Cork County Council
15077262,Elaine,51.90547,-8.45459,Entire home/apt,9,4,8,$225.00,10,94,Cork City Council
31066025,Oonagh,52.15976,-6.98995,Entire home/apt,6,3,4,$75.00,27,93,Waterford City And County Council
20672827,Colette,51.81427,-8.38625,Entire home/apt,5,3,3,$120.00,15,97,Cork County Council
1734457,Nicholas,52.25513,-7.10791,Private room,2,1,1,$31.00,124,91,Waterford City And County Council
26447693,Brenda,52.26924,-6.99076,Private room,4,2,3,$35.00,7,97,Waterford City And County Council
8968859,Sam,51.90241,-8.50244,Private room,1,1,1,$24.00,19,88,Cork City Council
20649085,Ann,51.93138,-8.51964,Private room,2,1,2,$50.00,171,98,Cork City Council
26935570,Simon,51.72374,-8.34456,Entire home/apt,13,5,9,$500.00,36,100,Cork County Council
21487449,Marje,51.89894,-8.49427,Private room,3,1,3,$76.00,243,99,Cork City Council
32735563,Eileen,53.96944,-6.48035,Entire home/apt,12,6,8,$464.00,16,99,Louth County Council
43362406,Neil,53.95045,-6.38482,Private room,2,5,4,$60.00,0,,Louth County Council
1020606,Carol,51.56652,-9.14096,Entire home/apt,4,2,4,$103.00,24,93,Cork County Council
46677550,Orin,53.97143,-6.36825,Entire home/apt,3,3,2,$105.00,0,,Louth County Council
33209941,Angelene,51.9001,-8.50464,Entire home/apt,4,2,2,$123.00,0,,Cork City Council
18547630,Ivor,53.9889,-6.3932,Entire home/apt,6,4,5,$143.00,12,95,Louth County Council
47898383,Jacinta,51.56755,-9.12086,Private room,2,1,1,$80.00,0,,Cork County Council
37882195,Patricia,54.65524,-8.10394,Entire home/apt,6,3,4,$150.00,8,100,Donegal County Council
44586717,Noel,54.6864,-8.00002,Entire home/apt,6,4,6,$150.00,2,90,Donegal County Council
12758553,Angelene,51.89817,-8.50529,Entire home/apt,5,3,0,$120.00,27,100,Cork City Council
14897163,Sam,51.90204,-8.50269,Private room,1,1,1,$23.00,24,89,Cork City Council
43575772,Steven,51.50658,-9.3081,Entire home/apt,4,1,1,$112.00,30,100,Cork County Council
43977421,Sorcha,51.90163,-8.48468,Entire home/apt,4,2,2,$165.00,0,,Cork City Council
35228044,Agnes,54.53025,-8.15625,Hotel room,2,1,2,$80.00,1,80,Donegal County Council
23050835,Sharon,51.52651,-9.17603,Entire home/apt,10,4,7,$295.00,2,100,Cork County Council
17637753,Dermot,51.55341,-8.90817,Entire home/apt,2,1,1,$120.00,11,96,Cork County Council
45617302,Beatrice,54.63017,-8.60267,Entire home/apt,4,1,3,$58.00,1,100,Donegal County Council
19984460,David,54.62512,-8.5587,Entire home/apt,8,4,5,$200.00,52,98,Donegal County Council
17695852,Margaret,51.8935,-8.45123,Private room,2,1,1,$45.00,203,97,Cork City Council
17603900,Margaret,51.89477,-8.45216,Private room,2,2,1,$45.00,176,98,Cork City Council
4857684,Mary & Jason,53.52734,-6.08656,Entire home/apt,6,2,4,$115.00,60,99,Fingal County Council
